127.0.0.1 - - [06/Feb/2024:14:40:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:13:10 +0900] "GET /movieinfo/ HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:13:10 +0900] "GET /movieinfo/ HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:13:10 +0900] "GET /movieinfo/ HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:13:11 +0900] "GET /movieinfo/ HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:13:11 +0900] "GET /movieinfo/ HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:13:11 +0900] "GET /movieinfo/ HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:13:11 +0900] "GET /movieinfo/ HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:13:11 +0900] "GET /movieinfo/ HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:14:01 +0900] "GET /movieinfo/ HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:14:01 +0900] "GET /movieinfo/resources/images/no_image.jpg HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:18:00 +0900] "GET /movieinfo/detail?m_code=1 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Feb/2024:16:14:02 +0900] "GET /movieinfo/ HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [06/Feb/2024:16:14:03 +0900] "GET /movieinfo/resources/images/mlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2024:16:14:03 +0900] "GET /movieinfo/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2024:16:14:03 +0900] "GET /movieinfo/resources/images/no_image.jpg HTTP/1.1" 304 -
